                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94254,                0.90256,                0.96938,                0.77804,                0.73505,                0.81269,                0.62303,                 1.0132,                 1.4577,                 1.1555,              0.0011224,              0.0011224,              0.0011224
                     36,                0.94137,                0.91813,                0.97601,                0.73533,                0.76075,                0.80563,                0.62575,                 1.0792,                 1.3031,                   1.23,              0.0011059,              0.0011059,              0.0011059
                     37,                0.93951,                0.90577,                0.97227,                 0.8007,                0.74543,                0.81571,                0.64453,                 1.0075,                 1.4692,                 1.1497,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.9101,                0.86626,                0.96248,                0.74808,                0.75292,                0.79122,                0.62734,                0.99024,                 1.3738,                 1.1142,              0.0010729,              0.0010729,              0.0010729
                     39,                0.93956,                0.86135,                0.96403,                0.80241,                0.71593,                 0.8189,                0.63585,                0.99611,                  1.535,                 1.1252,              0.0010564,              0.0010564,              0.0010564
                     40,                0.91092,                0.83476,                0.95681,                 0.7761,                0.77209,                0.82638,                 0.6466,                 0.9835,                 1.3438,                 1.1524,              0.0010399,              0.0010399,              0.0010399
                     41,                0.90142,                0.83998,                  0.951,                0.78857,                0.74233,                0.81885,                0.64146,                0.94292,                 1.1286,                 1.0981,              0.0010234,              0.0010234,              0.0010234
                     42,                0.90344,                0.83667,                0.94492,                0.73531,                0.75741,                 0.7879,                0.61759,                 1.0046,                 1.2881,                 1.1835,              0.0010069,              0.0010069,              0.0010069
                     43,                0.93361,                0.84606,                0.95917,                0.77569,                 0.7734,                 0.8228,                0.64772,                0.95694,                 1.3026,                 1.1267,             0.00099036,             0.00099036,             0.00099036
                     44,                0.92939,                0.90724,                 0.9707,                0.80244,                 0.7643,                0.83736,                0.66192,                 0.9712,                 1.3914,                 1.1496,             0.00097386,             0.00097386,             0.00097386
                     45,                0.90902,                0.82683,                0.96147,                0.77871,                0.78716,                0.82537,                 0.6464,                0.96287,                 1.3349,                 1.1815,             0.00095736,             0.00095736,             0.00095736
                     46,                0.87648,                0.80335,                0.94168,                0.81281,                0.74884,                0.82908,                0.65721,                0.97715,                 1.3514,                 1.1399,             0.00094085,             0.00094085,             0.00094085
                     47,                0.91634,                0.88332,                0.95449,                0.79693,                0.74109,                0.81829,                0.64199,                0.96918,                 1.1148,                 1.1492,             0.00092435,             0.00092435,             0.00092435
                     48,                0.88815,                0.79652,                0.94843,                0.81458,                0.75855,                0.82884,                0.65436,                 1.2125,                 1.3965,                 1.4048,             0.00090785,             0.00090785,             0.00090785
                     49,                0.87893,                 0.8002,                0.95226,                0.78605,                 0.7675,                0.83279,                0.66054,                 1.2552,                 1.5361,                 1.3952,             0.00089134,             0.00089134,             0.00089134
                     50,                0.88293,                0.78769,                0.94262,                0.81497,                0.73418,                0.83099,                0.67077,                 1.0433,                 1.4156,                 1.1975,             0.00087484,             0.00087484,             0.00087484
                     51,                0.89304,                0.79056,                0.94204,                0.79438,                0.77266,                  0.833,                 0.6542,                0.93584,                 1.3405,                 1.1038,             0.00085834,             0.00085834,             0.00085834
                     52,                0.87602,                0.75858,                0.94465,                0.81438,                 0.7645,                0.83169,                0.65959,                 1.0357,                 1.4132,                 1.1953,             0.00084184,             0.00084184,             0.00084184
                     53,                0.86666,                0.75246,                 0.9378,                0.82295,                0.74798,                0.83157,                0.65918,                 1.0157,                 1.4636,                 1.2426,             0.00082533,             0.00082533,             0.00082533
                     54,                0.85392,                0.73714,                   0.94,                0.81603,                0.77017,                0.83875,                0.66708,                  1.056,                 1.3363,                 1.2537,             0.00080883,             0.00080883,             0.00080883
                     55,                0.86087,                0.75545,                0.93447,                0.79084,                0.77914,                0.83246,                0.66881,                0.97501,                 1.4352,                  1.155,             0.00079233,             0.00079233,             0.00079233
                     56,                0.84145,                0.73806,                0.92569,                0.79382,                0.75481,                0.81915,                0.64615,                 1.0607,                 1.3393,                 1.2371,             0.00077582,             0.00077582,             0.00077582
                     57,                0.85934,                0.80081,                0.94082,                0.79259,                0.77321,                0.82889,                0.66318,                0.98022,                 1.4036,                 1.1294,             0.00075932,             0.00075932,             0.00075932
                     58,                0.85247,                0.74624,                0.93696,                0.81134,                0.74616,                0.82093,                0.65449,                 0.9422,                 1.5336,                 1.1172,             0.00074282,             0.00074282,             0.00074282
                     59,                0.85587,                0.74434,                0.93419,                0.79414,                 0.7869,                0.83886,                0.67036,                0.86768,                 1.3713,                 1.0615,             0.00072631,             0.00072631,             0.00072631
                     60,                0.85852,                0.75556,                0.94237,                0.79071,                0.78139,                0.83055,                0.66088,                 1.0103,                 1.3705,                 1.1472,             0.00070981,             0.00070981,             0.00070981
                     61,                0.85611,                0.73363,                0.93535,                0.83281,                0.75374,                0.83811,                0.65359,                 1.0921,                 1.4072,                 1.2581,             0.00069331,             0.00069331,             0.00069331
                     62,                0.84864,                 0.7402,                0.92998,                0.82556,                 0.7555,                0.84049,                0.67168,                 1.0862,                 1.3981,                 1.3156,              0.0006768,              0.0006768,              0.0006768
