                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75166,                0.54977,                0.91309,                0.83527,                0.79175,                0.85914,                0.69928,                0.81941,                 1.2369,                 1.0359,                0.06748,              3.252e-10,              3.252e-10
                      2,                0.74105,                0.54834,                0.90652,                 0.8259,                 0.8018,                0.85722,                0.69797,                0.82401,                 1.2854,                 1.0413,               0.034146,             6.5195e-10,             6.5195e-10
                      3,                0.73796,                0.53626,                0.90319,                0.82306,                0.80255,                0.85761,                0.69931,                 0.8259,                 1.2857,                 1.0412,             0.00081301,             9.7203e-10,             9.7203e-10
                      4,                0.74312,                0.54302,                0.90729,                0.82412,                0.80074,                0.85796,                0.69914,                0.82691,                 1.2775,                 1.0403,                9.7e-10,                9.7e-10,                9.7e-10
                      5,                0.73554,                0.54831,                0.90177,                0.82635,                0.80063,                0.85783,                0.69893,                0.83048,                 1.2939,                 1.0417,                9.7e-10,                9.7e-10,                9.7e-10
                      6,                0.72973,                  0.549,                0.89617,                0.82375,                0.79693,                0.85808,                0.69935,                0.82991,                 1.2873,                 1.0413,                9.6e-10,                9.6e-10,                9.6e-10
