                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82714,                0.67315,                0.92146,                 0.7668,                0.67734,                0.74148,                0.58118,                0.89592,                0.98911,                 1.0049,                0.06748,              3.252e-10,              3.252e-10
                      2,                0.78355,                0.64416,                0.91037,                0.80839,                0.74671,                0.80718,                 0.6549,                0.78407,                0.86422,                0.95355,               0.034146,             6.5195e-10,             6.5195e-10
                      3,                0.77101,                0.60415,                0.90561,                0.82499,                0.78077,                0.85073,                0.69012,                0.76457,                0.70927,                0.94354,             0.00081301,             9.7203e-10,             9.7203e-10
                      4,                 0.7659,                0.59974,                0.90324,                0.82818,                0.79331,                0.85413,                0.69332,                0.75695,                 0.6892,                0.94058,                9.7e-10,                9.7e-10,                9.7e-10
                      5,                0.76244,                0.61351,                0.90135,                0.82627,                  0.797,                0.85383,                0.69247,                0.75645,                0.68807,                0.94004,                9.7e-10,                9.7e-10,                9.7e-10
                      6,                0.75745,                0.59993,                0.89622,                0.82559,                0.79742,                0.85418,                0.69255,                0.75509,                0.68916,                0.93947,                9.6e-10,                9.6e-10,                9.6e-10
                      7,                0.76298,                0.60254,                0.90378,                0.82596,                0.79477,                0.85352,                0.69203,                0.75666,                0.69117,                0.93964,                9.5e-10,                9.5e-10,                9.5e-10
                      8,                0.77585,                0.61178,                0.90845,                0.82467,                0.79517,                0.85368,                0.69175,                0.75612,                0.69227,                0.94003,                9.4e-10,                9.4e-10,                9.4e-10
