                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64987,                0.44566,                0.87613,                0.84572,                0.77894,                0.85568,                0.70361,                0.91714,                 1.6521,                 1.1152,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.63961,                 0.4413,                0.87366,                0.83614,                0.79677,                0.85604,                0.70191,                0.94204,                 1.6451,                 1.1292,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.63408,                0.42056,                0.86779,                0.82757,                0.80153,                0.85411,                0.70224,                0.96387,                  1.591,                 1.1716,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.63949,                0.42034,                0.87181,                0.82441,                0.80712,                0.85406,                0.70242,                0.96314,                 1.5753,                 1.1657,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.63007,                0.42683,                0.86851,                0.82416,                0.80811,                0.85356,                0.70165,                0.96587,                 1.5856,                 1.1727,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.63055,                 0.4169,                0.86252,                0.82332,                0.80911,                0.85381,                0.70183,                 0.9698,                 1.5937,                 1.1756,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.62983,                 0.4231,                0.86962,                0.82496,                 0.8057,                0.85404,                0.70159,                0.97062,                 1.6095,                 1.1636,                9.5e-07,                9.5e-07,                9.5e-07
