                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8646,                 2.6938,                  1.361,                0.84121,                0.27318,                0.56057,                0.34937,                 1.0481,                 3.5863,                0.88551,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.2234,                 1.4082,                 1.0393,                0.61834,                0.63553,                 0.6484,                0.42894,                0.93231,                 4.0638,                0.85748,               0.001304,               0.001304,               0.001304
                      3,                 1.1672,                 1.6538,                 1.0029,                 0.6286,                0.62431,                0.63834,                 0.4429,                0.89998,                 6.1183,                0.87658,              0.0019445,              0.0019445,              0.0019445
                      4,                 1.1392,                   1.21,                   1.03,                0.82124,                0.77164,                0.86282,                0.61754,                0.84951,                 3.6973,                0.84811,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1459,                 1.1294,                   1.03,                0.67864,                0.74669,                0.76736,                0.52569,                  0.856,                 8.5567,                0.86443,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1057,                 1.0333,                 1.0075,                0.79152,                0.79374,                0.86416,                 0.6068,                0.88238,                 1.3141,                0.87754,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0543,                0.98881,                 1.0091,                0.76884,                0.82689,                0.86377,                0.60642,                0.85322,                 1.4726,                0.86833,               0.001901,               0.001901,               0.001901
                      8,                  1.031,                0.95869,                0.98562,                0.86761,                0.78085,                0.89649,                0.67046,                0.80001,                0.98521,                0.84041,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0452,                0.93688,                0.99934,                0.80139,                0.84346,                0.89047,                0.65044,                0.83957,                 2.6542,                0.85825,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0335,                0.89686,                0.98394,                0.79622,                0.84715,                0.90184,                0.66361,                0.80389,                 3.0991,                0.84977,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0108,                 1.0237,                0.98677,                0.86143,                0.84717,                  0.922,                0.69379,                0.76218,                 1.1281,                 0.8117,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0096,                0.84229,                 0.9758,                0.84885,                0.82739,                0.91128,                0.70186,                0.73056,                 1.0733,                0.81145,               0.001802,               0.001802,               0.001802
                     13,                 0.9904,                0.84945,                0.97414,                0.84398,                0.82688,                0.90576,                0.67806,                0.78791,                 1.0873,                  0.839,              0.0017822,              0.0017822,              0.0017822
                     14,                0.97108,                0.79805,                0.97515,                0.82564,                0.88078,                0.92315,                0.71604,                0.71158,                  1.255,                0.80723,              0.0017624,              0.0017624,              0.0017624
                     15,                0.95527,                0.79367,                0.96445,                0.82938,                0.78453,                0.86596,                0.66592,                0.74282,                 1.4277,                0.81778,              0.0017426,              0.0017426,              0.0017426
                     16,                0.93446,                 0.9688,                0.93764,                0.82866,                0.85083,                0.92134,                0.70777,                0.71747,                0.81828,                0.81297,              0.0017228,              0.0017228,              0.0017228
                     17,                0.96891,                0.77199,                 0.9679,                0.83798,                0.85728,                0.91859,                0.68149,                0.78707,                0.97042,                0.82512,               0.001703,               0.001703,               0.001703
                     18,                0.97096,                0.77846,                0.96454,                0.87171,                0.86556,                0.92579,                0.71879,                0.70882,                0.95946,                 0.8012,              0.0016832,              0.0016832,              0.0016832
                     19,                0.94561,                0.75676,                0.95895,                0.86552,                0.85342,                0.93003,                0.72939,                0.71649,                0.72514,                 0.8089,              0.0016634,              0.0016634,              0.0016634
